date,Omicron_BA2,Omicron_BA1,average_c,average_k,Omicron_BA2_lb,Omicron_BA2_ub,Omicron_BA1_lb,Omicron_BA1_ub,average_c_lb,average_c_ub,average_k_lb,average_k_ub
2022-02-08,0.028813557099210522,0.9711864429007895,1.0,1.0094667418327687,0.01749190625894967,0.04148743669075569,0.9585125633092443,0.9825080937410503,1.0,1.0,1.006484909930522,1.0123181732353057
2022-02-09,0.037921307702003464,0.9620786922979966,1.0,1.012459108354438,0.02382233052170321,0.05315088807909284,0.9468491119209071,0.9761776694782968,1.0,1.0,1.0088318371640785,1.015781207497799
2022-02-10,0.03978272756644402,0.960217272433556,1.0,1.0130706809290555,0.025165264051805764,0.055464612813933376,0.9445353871860667,0.9748347359481943,1.0,1.0,1.0093297133164238,1.0164681832277054
2022-02-11,0.043212918039482476,0.9567870819605175,1.0,1.0141976756813407,0.027651101118822182,0.05971357914687424,0.9402864208531257,0.9723488988811778,1.0,1.0,1.010251306951955,1.01772975799672
2022-02-12,0.04708789356911543,0.9529121064308845,1.0,1.015470805299493,0.03048713126585653,0.06447676205903835,0.9355232379409617,0.9695128687341434,1.0,1.0,1.011302730381254,1.0191440105257648
2022-02-13,0.05131069246877259,0.9486893075312274,1.0,1.0168582128610484,0.03361658323224385,0.06961697263647357,0.9303830273635264,0.9663834167677562,1.0,1.0,1.0124629363550046,1.020670207596718
2022-02-14,0.055895536671476946,0.944104463328523,1.0,1.01836457100562,0.03705897598817669,0.07514110552483856,0.9248588944751615,0.9629410240118234,1.0,1.0,1.0137391612922542,1.0223103963218243
2022-02-15,0.060868086830248615,0.9391319131697514,1.0,1.019998310583191,0.040842216643363266,0.08107067800375357,0.9189293219962464,0.9591577833566367,1.0,1.0,1.015141751412003,1.0240709654683595
2022-02-16,0.06625591063230037,0.9337440893676996,1.0,1.021768489002983,0.044996615665910296,0.08742879116289623,0.9125712088371037,0.9550033843340897,1.0,1.0,1.0166819439489303,1.0259587740579281
2022-02-17,0.07208760778292672,0.9279123922170733,1.0,1.023684502745465,0.04955445077698292,0.09423884942535965,0.9057611505746404,0.950445549223017,1.0,1.0,1.0183717054726837,1.027980771175871
2022-02-18,0.07839262439091793,0.9216073756090821,1.0,1.0257560263783736,0.0545499201708957,0.10152430413281156,0.8984756958671885,0.9454500798291043,1.0,1.0,1.0202237145448012,1.0301439198382796
2022-02-19,0.08520106676196071,0.9147989332380393,1.0,1.0279929513782275,0.06001907149266935,0.10930843509830579,0.8906915649016942,0.9399809285073306,1.0,1.0,1.0222513353880098,1.032455132132112
2022-02-20,0.09250790535280695,0.907492094647193,1.0,1.030393625280276,0.06597391149096281,0.11757000942041582,0.8824299905795842,0.9340260885090372,1.0,1.0,1.0244590193572654,1.03490810372577
2022-02-21,0.1003818137502364,0.8996181862497636,1.0,1.0329806109050177,0.07248084925277383,0.12637884287041506,0.8736211571295849,0.9275191507472261,1.0,1.0,1.026871386807912,1.0375235638528166
2022-02-22,0.1088389941117055,0.8911610058882945,1.0,1.0357592314980781,0.07956980727021094,0.13573877055006903,0.864261229449931,0.9204301927297891,1.0,1.0,1.029499531137282,1.0403026512061118
2022-02-23,0.11790814054875581,0.8820918594512441,1.0,1.0387389145572545,0.08728123485168428,0.1456683171076104,0.8543316828923896,0.9127187651483157,1.0,1.0,1.0323584484308739,1.0432508660007627
2022-02-24,0.12761680343131243,0.8723831965686876,1.0,1.0419287118021447,0.09565590688541366,0.15618426968163626,0.8438157303183638,0.9043440931145863,1.0,1.0,1.0354632554789112,1.0463731925620943
