t_6B.1,t_6B.1A.1,t_6B.1A.2,t_6B.1A.3,t_6B.1A.4,t_6B.1A.5a1,t_6B.1A.5a2,t_6B.1A.5b,t_6B.1A.6,t_6B.1A.7,t_pre-6B.1,c_6B.1,c_6B.1A.1,c_6B.1A.2,c_6B.1A.3,c_6B.1A.4,c_6B.1A.5a1,c_6B.1A.5a2,c_6B.1A.5b,c_6B.1A.6,c_6B.1A.7,c_pre-6B.1,k_6B.1,k_6B.1A.1,k_6B.1A.2,k_6B.1A.3,k_6B.1A.4,k_6B.1A.5a1,k_6B.1A.5a2,k_6B.1A.5b,k_6B.1A.6,k_6B.1A.7,k_pre-6B.1,qt_6B.1,qt_6B.1A.1,qt_6B.1A.2,qt_6B.1A.3,qt_6B.1A.4,qt_6B.1A.5a1,qt_6B.1A.5a2,qt_6B.1A.5b,qt_6B.1A.6,qt_6B.1A.7,qt_pre-6B.1,maxll,convergence
2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0010490399838328,1.0376251507833032,1.0455585141626642,1.045788452850561,1.0005607154340748,1.0e-10,6.998145253048489e-5,1.0287715862373317,1.0599597495017727,1.0434767596491759,0.9787697338580436,0.908678274083254,0.003865436795736539,0.00018998353474073472,0.00032817209966297877,0.004403354757212316,1.0e-10,1.0e-10,0.005050157735725995,0.00023917779176835133,0.0002041393042817033,0.06698552940895502,-53.698563058633994,FTOL_REACHED
2018-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9647917477538497,0.958312866810076,0.979214240111211,0.975341099184989,0.9770569152435558,1.0087579802244089,1.1009392002410867,0.9760252329224666,0.9677844534258195,0.9866603716458525,0.9581604879996447,0.5303941818602216,0.17688477411828646,0.019281008401533427,0.03506348274219035,0.002301858370184922,0.0001503363418290125,1.0e-10,0.07322351799072827,0.13658156924951373,0.013344602496838682,0.002730553899510526,-72.45551565474206,FTOL_REACHED
2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,2019-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9829196007935639,0.9775326434113871,0.9760996842003968,0.9823909620577755,0.9760217378206754,1.0360562106202142,1.0469455742882434,1.0061409923450952,0.9808645476363929,1.0027959977220315,1.004317597325727,0.23762468046512067,0.036445883234401386,0.05328107728857848,0.05815324110119087,0.004880817503923768,0.00971363242723764,0.001723133028382424,0.11702283994237,0.08948633631003039,0.07954420159918724,0.0004786698291115841,-83.68789144750826,FTOL_REACHED
2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0036514854490288,0.07854634777573043,1.0327231525835407,0.8894464535586288,1.6323978362668127e-10,1.629140824233133,1.6169984523738101,1.6015492003206426,0.9097695632942043,1.570537451864523,1.4806835163699699,0.0019692004776232777,0.009925287785280205,0.00021107896583557942,0.0006423390706932295,0.9569755717937456,0.0036628979058193406,0.0025609096899006393,0.0016451694486294079,0.0008058561740817553,0.0008502297818885384,1.2444207480183236e-5,-391.57471218577155,XTOL_REACHED
2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.019992677256719,1.0e-10,1.0e-10,1.0e-10,1.0e-10,0.9885465751605593,0.9951983068658987,0.6721843604325165,1.0e-10,0.9138074039096936,0.39106867871289624,4.214975166204223e-7,0.00016609438173278523,0.9918515025260858,0.002123538581301632,7.320998922820667e-5,0.0030866815178630554,0.0009320295396050272,0.001343967996490298,6.765992221090532e-5,3.20232504726165e-5,0.0002808100658113521,-30.597827331506462,FTOL_REACHED
