date	k_6B.1	k_6B.1A.1	k_6B.1A.2	k_6B.1A.3	k_6B.1A.4	k_6B.1A.5a1	k_6B.1A.5a2	k_6B.1A.5b	k_6B.1A.6	k_6B.1A.7	k_pre-6B.1
1/1/2017	1.00104904	1.037625151	1.045558514	1.045788453	1.000560715	1.00E-10	7.00E-05	1.028771586	1.05995975	1.04347676	0.978769734
1/1/2018	0.964791748	0.958312867	0.97921424	0.975341099	0.977056915	1.00875798	1.1009392	0.976025233	0.967784453	0.986660372	0.958160488
1/1/2019	0.982919601	0.977532643	0.976099684	0.982390962	0.976021738	1.036056211	1.046945574	1.006140992	0.980864548	1.002795998	1.004317597
1/1/2020	1.003651485	0.078546348	1.032723153	0.889446454	1.63E-10	1.629140824	1.616998452	1.6015492	0.909769563	1.570537452	1.480683516
1/1/2021	1.019992677	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.988546575	0.995198307	0.67218436	1.00E-10	0.913807404	0.391068679
