date,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v000,average_c,average_k
2024-01-01,0.04217468645588164,0.09892245178327638,0.019520666771495804,0.0003702835254495762,0.213927652409457,0.03611422315120739,0.03291302099101627,0.03480083231093552,0.023038411463072637,0.022520164675765685,0.1373376996584447,0.3383599068039974,1.0,1.040796276219349
2024-01-02,0.045673217028256746,0.09600725287167128,0.018476270946381403,0.0004566611260917797,0.22211780822305585,0.037707048376283775,0.033153233430394065,0.03570280039779737,0.022477000241785065,0.026704931065482666,0.1364266227623549,0.325097153530445,0.9999999999999999,1.0430634475173217
2024-01-03,0.04583608137472153,0.09587311992161815,0.01843085548841923,0.000461319921536863,0.2224718502612971,0.037776839891459406,0.03316072704573311,0.0357402170402709,0.022450658910929573,0.026921430801286762,0.13637355041748256,0.3245033489252448,1.0,1.0431707917849158
2024-01-04,0.046698567970459494,0.0951628444976187,0.018190478609244005,0.000486026440073054,0.22434550669961664,0.038146235180110566,0.03320024493269809,0.0359381568195923,0.022311151007894804,0.028069093709301184,0.1360920145053198,0.3213596796280713,1.0,1.0437393760891989
2024-01-05,0.047857305284227866,0.0942091290918471,0.0178687497973269,0.0005195409050765935,0.2268511187235796,0.03864064342105685,0.033251799433704765,0.036202155201085225,0.02212362098469039,0.029621481405560528,0.1357093504418808,0.3171451053099634,1.0,1.0445043470684003
2024-01-06,0.04896579639699897,0.09329859579167275,0.01756517991287363,0.0005527226808970198,0.22920772780291027,0.03910712113828137,0.033295780349537785,0.036448000272472025,0.021943862581527345,0.031143179239747677,0.13532791334606636,0.3131441204870149,1.0,1.0452399421001641
2024-01-07,0.050047686183453045,0.09241256313954783,0.017275084731914893,0.000586789506773701,0.2314479380221473,0.03955277402025088,0.033330799506834194,0.03667800683955362,0.02176787611168992,0.03268315452360398,0.13493286917067163,0.3092844582435591,1.0,1.0459636319135286
2024-01-08,0.05115236775137611,0.09151019229196788,0.01698457300291353,0.0006232200907043965,0.23367881775466068,0.03999871055624438,0.03335911963962107,0.03690348977383829,0.02158764749104203,0.034308746223296584,0.1345080902240893,0.3053850252002457,0.9999999999999999,1.0467083499989345
2024-01-09,0.05227900998909566,0.09059176770057528,0.016693340129768832,0.0006619958943659245,0.23590153348138146,0.04044503977741798,0.03338114118368701,0.03712477904783535,0.02140330260369323,0.03601829182856114,0.13405510259893766,0.3014446957646806,1.0000000000000002,1.0474738024184966
2024-01-10,0.05342030091621684,0.08966307134594961,0.016403298199614107,0.0007030322196246196,0.23809912750002615,0.040888443751621234,0.03339643309157791,0.03734004587165468,0.021215975511564334,0.03780533156517129,0.13357600271910872,0.2974889373078705,1.0,1.0482558413139142
2024-01-11,0.054561803054978916,0.0887358106274031,0.01611848900265423,0.000746074239553338,0.2402379108705708,0.04132235238554712,0.03340406686645676,0.03754561568559313,0.021027940169810192,0.03965500975512682,0.13307471163998194,0.29357021570232356,0.9999999999999999,1.0490457256995938
2024-01-12,0.055725354522338254,0.08779175653020324,0.015832738467096104,0.0007918836676047887,0.2423640017876979,0.04175589356811042,0.03340490601911613,0.03774630491154672,0.020835607871861637,0.041599922921563746,0.1325436728289031,0.2896079569039579,1.0,1.0498585566378864
2024-01-13,0.05690036079551003,0.0868393215741964,0.015548811235341062,0.0008402788715988445,0.2444539096726188,0.04218444051415634,0.03339843970414635,0.037939628028196,0.020640638014828794,0.043628931142602786,0.13198622775613678,0.2856390126906678,1.0,1.0506880209340026
2024-01-14,0.05808534810905239,0.0858794240793422,0.015267017687147756,0.0008913729508982192,0.24650303808880947,0.042607124654586444,0.03338445202197718,0.03812503987169815,0.020443201587735743,0.04574401958063088,0.1314023765475168,0.2816675848206047,1.0,1.051533942171375
2024-01-15,0.05928154597967376,0.08491073538274242,0.014986910182818648,0.0009453627647703822,0.2485126722407145,0.04302423679720693,0.03336284968552265,0.03830261653412859,0.020243027950541753,0.04795087828173731,0.1307912226165763,0.2776879415835667,1.0,1.0523979532471552
2024-01-16,0.06048843512255192,0.08393332342656727,0.01470847736653936,0.001002391007002498,0.25048072915606784,0.04343538808738874,0.033333514135467875,0.03847210392987095,0.020040128148009154,0.0502526227549044,0.13015258681279065,0.2737003000528394,1.0,1.0532805285694826
2024-01-17,0.06170502362344296,0.08294761936658543,0.014431832441538624,0.001062595713239326,0.2524040939889153,0.04383998637332967,0.033296302495969286,0.038633138334003274,0.019834584256736686,0.052651904236405554,0.1294864249272786,0.26970649424255544,1.0,1.054181870451674
2024-01-18,0.06293058906176491,0.0819538098105414,0.014157012273435575,0.0011261322359766817,0.25428019227846244,0.04423754776086288,0.03325107577887622,0.03878540978327353,0.01962642913575864,0.055151919162537845,0.1287925684428332,0.26570731427567673,1.0,1.0551023985494763
2024-01-19,0.06416443988532812,0.08095202801413133,0.013884031681780061,0.00119316296691111,0.2561065964638319,0.04462761458470707,0.03319770412452177,0.038928627891908436,0.01941568610712597,0.057755973714955514,0.12807084856576142,0.26170328599903714,0.9999999999999998,1.0560425796622186
2024-01-20,0.06540583788061173,0.07994241684824897,0.013612904678064888,0.00126385553090551,0.25788085812222045,0.045009722323089654,0.03313606323192869,0.039062504131149305,0.019202381325917256,0.06046738540368364,0.1273211211008208,0.25769494942335913,1.0,1.0570028778989773
2024-01-21,0.06665386898822423,0.07892523480928555,0.013343680261939507,0.0013383792386732285,0.25960023058144494,0.045383344829259466,0.03306602869766906,0.03918672263871446,0.018986564622870582,0.0632893088930567,0.12654330906890207,0.25368332736996013,0.9999999999999999,1.0579836693936557
